           Time Step     Kinetic Energy eV     Potential Energy eV       Total Energy eV         Current Temp
                 325           53.4467261          -31.2522913           22.1944347          129.2990386
                 326           54.0874684          -31.8986264           22.1888420          130.8491310
                 327           55.0067812          -32.8260806           22.1807006          133.0731450
                 328           56.1001753          -33.9278660           22.1723093          135.7182988
                 329           57.2431545          -35.0789687           22.1641858          138.4834094
                 330           58.3054455          -36.1494167           22.1560288          141.0533179
                 331           59.1658835          -37.0168831           22.1490004          143.1349012
                 332           59.7262692          -37.5821350           22.1441342          144.4905938
                 333           59.9226019          -37.7814383           22.1411636          144.9655645
                 334           59.7324016          -37.5907936           22.1416080          144.5054293
                 335           59.1772940          -37.0332816           22.1440124          143.1625057
                 336           58.3205563          -36.1705058           22.1500505          141.0898743
                 337           57.2599030          -35.1031075           22.1567955          138.5239275
                 338           56.1163522          -33.9518394           22.1645129          135.7574342
                 339           55.0204184          -32.8493473           22.1710711          133.1061362
                 340           54.0972247          -31.9202662           22.1769585          130.8727337
                 341           53.4522326          -31.2716321           22.1806005          129.3123601
                 342           53.1592084          -30.9766139           22.1825945          128.6034720
                 343           53.2518261          -31.0705103           22.1813158          128.8275339
                 344           53.7198381          -31.5420234           22.1778147          129.9597550
                 345           54.5102583          -32.3389211           22.1713373          131.8719502
                 346           55.5334269          -33.3697364           22.1636905          134.3472133
                 347           56.6732472          -34.5177977           22.1554495          137.1046821
                 348           57.8004494          -35.6550799           22.1453695          139.8316247
                 349           58.7873483          -36.6488333           22.1385150          142.2191438
                 350           59.5224111          -37.3899580           22.1324530          143.9974175
                 351           59.9229749          -37.7936265           22.1293484          144.9664670
                 352           59.9446608          -37.8167782           22.1278825          145.0189297
                 353           59.5864104          -37.4576435           22.1287669          144.1522456
                 354           58.8905735          -36.7577543           22.1328192          142.4688675
                 355           57.9380328          -35.8001443           22.1378885          140.1644684
                 356           56.8389306          -34.6947259           22.1442048          137.5055055
                 357           55.7200483          -33.5675638           22.1524846          134.7986904
                 358           54.7102927          -32.5523893           22.1579034          132.3558759
                 359           53.9259485          -31.7636746           22.1622740          130.4583800
                 360           53.4573688          -31.2918158           22.1655530          129.3247856
                 361           53.3586395          -31.1925220           22.1661175          129.0859384
                 362           53.6413892          -31.4771284           22.1642608          129.7699702
                 363           54.2734593          -32.1137048           22.1597546          131.2990828
                 364           55.1825792          -33.0309774           22.1516019          133.4984380
                 365           56.2646287          -34.1219356           22.1426931          136.1161466
                 366           57.3955492          -35.2621462           22.1334030          138.8520846
                 367           58.4455239          -36.3206333           22.1248905          141.3921975
                 368           59.2938271          -37.1753735           22.1184536          143.4444241
                 369           59.8426367          -37.7282588           22.1143778          144.7721116
